Luis,Leloir,FR,AR,male,1970,chemistry,1,Institute for Biochemical Research,Buenos Aires,Argentina,Sep,81,64
Gerhard,Herzberg,DE,CA,male,1971,chemistry,1,National Research Council of Canada,Ottawa,Canada,Dec,95,67
Christian,Anfinsen,US,US,male,1972,chemistry,2,National Institutes of Health,Bethesda MD,USA,Mar,79,56
Stanford,Moore,US,US,male,1972,chemistry,4,Rockefeller University,New York NY,USA,Sep,69,59
William H.,Stein,US,US,male,1972,chemistry,4,Rockefeller University,New York NY,USA,Jun,69,61
Ernst Otto,Fischer,DE,DE,male,1973,chemistry,2,Technical University,Munich,Germany,Nov,89,55
Geoffrey,Wilkinson,GB,GB,male,1973,chemistry,2,Imperial College,London,United Kingdom,Jul,75,52
Paul J.,Flory,US,US,male,1974,chemistry,1,Stanford University,Stanford CA,USA,Jun,75,64
Vladimir,Prelog,BA,CH,male,1975,chemistry,2,Eidgenössische Technische Hochschule (Swiss Federal Institute of Technology),Zurich,Switzerland,Jul,92,69
William,Lipscomb,US,US,male,1976,chemistry,1,Harvard University,Cambridge MA,USA,Dec,92,57
Ilya,Prigogine,RU,BE,male,1977,chemistry,1,Université Libre de Bruxelles,Brussels,Belgium,Jan,86,60
Peter,Mitchell,GB,GB,male,1978,chemistry,1,Glynn Research Laboratories,Bodmin,United Kingdom,Sep,72,58
Herbert C.,Brown,GB,US,male,1979,chemistry,2,Purdue University,West Lafayette IN,USA,May,92,67
Georg,Wittig,DE,DE,male,1979,chemistry,2,University of Heidelberg,Heidelberg,Germany,Jun,90,82
Kenichi,Fukui,JP,JP,male,1981,chemistry,2,Kyoto University,Kyoto,Japan,Oct,80,63
Henry,Taube,CA,US,male,1983,chemistry,1,Stanford University,Stanford CA,USA,Nov,90,68
Bruce,Merrifield,US,US,male,1984,chemistry,1,Rockefeller University,New York NY,USA,Jul,85,63
Herbert A.,Hauptman,US,US,male,1985,chemistry,2,The Medical Foundation of Buffalo,Buffalo NY,USA,Feb,94,68
Donald J.,Cram,US,US,male,1987,chemistry,3,University of California,Los Angeles CA,USA,Apr,82,68
Charles J.,Pedersen,KR,US,male,1987,chemistry,3,Du Pont,Wilmington DE,USA,Oct,85,83
Michael,Smith,GB,CA,male,1993,chemistry,2,University of British Columbia,Vancouver,Canada,Apr,68,61
George A.,Olah,HU,US,male,1994,chemistry,1,University of Southern California,Los Angeles CA,USA,May,90,67
F. Sherwood,Rowland,US,US,male,1995,chemistry,3,University of California,Irvine CA,USA,Jun,85,68
